"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.581,0.891,5,-9.389,0,0.0607,0.115,0.173,0.326,0.789,158.981,audio_features,2h6I5nZ3Slr1iS4YM5wC3q,spotify:track:2h6I5nZ3Slr1iS4YM5wC3q,https://api.spotify.com/v1/tracks/2h6I5nZ3Slr1iS4YM5wC3q,https://api.spotify.com/v1/audio-analysis/2h6I5nZ3Slr1iS4YM5wC3q,240333,4,lilin-herlina,Belah Duren - Live
0.297,0.624,10,-7.505,1,0.0401,0.471,0.0243,0.133,0.44,150.927,audio_features,2dZAmxyYXC262vJwSqMJrQ,spotify:track:2dZAmxyYXC262vJwSqMJrQ,https://api.spotify.com/v1/tracks/2dZAmxyYXC262vJwSqMJrQ,https://api.spotify.com/v1/audio-analysis/2dZAmxyYXC262vJwSqMJrQ,252493,4,lilin-herlina,Matahariku - Live
0.417,0.66,5,-11.499,0,0.0365,0.00496,0.00145,0.123,0.686,89.728,audio_features,3uJCZYinGVdLs7kyJ86oQs,spotify:track:3uJCZYinGVdLs7kyJ86oQs,https://api.spotify.com/v1/tracks/3uJCZYinGVdLs7kyJ86oQs,https://api.spotify.com/v1/audio-analysis/3uJCZYinGVdLs7kyJ86oQs,360209,4,lilin-herlina,Bunga Edelweis - Live
0.451,0.566,5,-8.355,1,0.0478,0.558,0,0.371,0.726,176.138,audio_features,4GRlH358iF2Rml2vqXABd2,spotify:track:4GRlH358iF2Rml2vqXABd2,https://api.spotify.com/v1/tracks/4GRlH358iF2Rml2vqXABd2,https://api.spotify.com/v1/audio-analysis/4GRlH358iF2Rml2vqXABd2,244693,4,lilin-herlina,Andeca Andeci - Live
0.584,0.8,6,-8.91,0,0.0367,0.101,0.00000138,0.0978,0.528,92.481,audio_features,2UjAIFoKp34dI2fE5Xc4q1,spotify:track:2UjAIFoKp34dI2fE5Xc4q1,https://api.spotify.com/v1/tracks/2UjAIFoKp34dI2fE5Xc4q1,https://api.spotify.com/v1/audio-analysis/2UjAIFoKp34dI2fE5Xc4q1,258333,4,lilin-herlina,Sorry Boy - Live
0.394,0.581,4,-11.454,0,0.0333,0.574,0.0151,0.164,0.468,101.886,audio_features,1RzYGnBPFt4C94c3iAyXHy,spotify:track:1RzYGnBPFt4C94c3iAyXHy,https://api.spotify.com/v1/tracks/1RzYGnBPFt4C94c3iAyXHy,https://api.spotify.com/v1/audio-analysis/1RzYGnBPFt4C94c3iAyXHy,266333,4,lilin-herlina,Ada Rindu - Live
0.402,0.707,7,-9.917,0,0.0609,0.182,0,0.12,0.693,142.8,audio_features,3jTQHUOXYcktkwztBgUNBB,spotify:track:3jTQHUOXYcktkwztBgUNBB,https://api.spotify.com/v1/tracks/3jTQHUOXYcktkwztBgUNBB,https://api.spotify.com/v1/audio-analysis/3jTQHUOXYcktkwztBgUNBB,286200,4,lilin-herlina,Ajur - Live
0.44,0.741,1,-5.625,1,0.0382,0.3,0,0.334,0.782,143.282,audio_features,687eqeSFb4WG5oXGJYrC6q,spotify:track:687eqeSFb4WG5oXGJYrC6q,https://api.spotify.com/v1/tracks/687eqeSFb4WG5oXGJYrC6q,https://api.spotify.com/v1/audio-analysis/687eqeSFb4WG5oXGJYrC6q,262387,4,lilin-herlina,Alun-Alun Nganjuk - Live
0.46,0.73,1,-7.435,1,0.0364,0.31,0.0238,0.282,0.675,141.705,audio_features,4eHkPs0DIlDHFdQZO27z1k,spotify:track:4eHkPs0DIlDHFdQZO27z1k,https://api.spotify.com/v1/tracks/4eHkPs0DIlDHFdQZO27z1k,https://api.spotify.com/v1/audio-analysis/4eHkPs0DIlDHFdQZO27z1k,432373,4,lilin-herlina,Bulan Diranting Cemara - Live
0.475,0.759,9,-10.687,0,0.0454,0.531,0.00371,0.286,0.705,93.487,audio_features,5mMjNIiWRg7RyvyADGNaAM,spotify:track:5mMjNIiWRg7RyvyADGNaAM,https://api.spotify.com/v1/tracks/5mMjNIiWRg7RyvyADGNaAM,https://api.spotify.com/v1/audio-analysis/5mMjNIiWRg7RyvyADGNaAM,369752,4,lilin-herlina,Bungan Bunga Cinta - Live
